sim_type,sim_name,As,bary_Mc,bary_nu,H0,O_cdm,O_nu,Ob,Om,ns,s8,w0
fiducial,cosmo_fiducial,3.058900589392764e-09,66000000000000.0,0.0,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_H0_m,3.283236559798523e-09,66000000000000.0,0.0,65.36,0.20918905042,0.0015109495800000178,0.0493,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_H0_p,2.857256067787269e-09,66000000000000.0,0.0,69.36,0.209358298546,0.0013417014540000188,0.0493,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_Ob_m,3.0142488177410973e-09,66000000000000.0,0.0,67.36,0.210277442262,0.0014225577379999924,0.0483,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_Ob_p,3.1043297468702646e-09,66000000000000.0,0.0,67.36,0.208277442262,0.0014225577379999993,0.0503,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_Om_m,3.2759512842688582e-09,66000000000000.0,0.0,67.36,0.199277442262,0.0014225577379999993,0.0493,0.25,0.9649,0.84,-1.0
fiducial,cosmo_delta_Om_p,2.868481937414243e-09,66000000000000.0,0.0,67.36,0.219277442262,0.001422557738000027,0.0493,0.27,0.9649,0.84,-1.0
fiducial,cosmo_delta_bary_Mc_m,3.058900589392764e-09,52425663491802.69,0.0,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_bary_Mc_p,3.058900589392764e-09,83089077178415.08,0.0,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_bary_nu_m,3.058900589392764e-09,66000000000000.0,-0.1,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_bary_nu_p,3.058900589392764e-09,66000000000000.0,0.1,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9649,0.84,-1.0
fiducial,cosmo_delta_ns_m,3.101605628374703e-09,66000000000000.0,0.0,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9449,0.84,-1.0
fiducial,cosmo_delta_ns_p,3.0162487729405935e-09,66000000000000.0,0.0,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9849,0.84,-1.0
fiducial,cosmo_delta_s8_m,2.9506295545003543e-09,66000000000000.0,0.0,67.36,0.209277442262,0.0014225577379999993,0.0493,0.26,0.9649,0.825,-1.0
